id,trigger,conditions,script,text,options,notes,,
,,,,,,,,
,,,,,,,,
flavorTextMarketHMISamiel,TradePanelFlavorText,"$market.id == hmi_samiel score:1000
$id == hmi_samiel","AddText""As you step off your ship, you are greeted by an unnervingly chipper port attendant, who hands you a data slate of the current inventory, before politely reminding you to wear a rebreather at all times. Befuddled by the fact they are not wearing one, and that she regularly turns to speak to people who are not there, you continue into the concorse. The area is full of drab run down stalls run by apathetic, empty eyed peddlers selling vials of the hallucinogenic Red Water. The sound of rhythmic pounding of pumping machines rumble from deep within the walls is covered by the cries of crew desperately bargaining with incoming captains to escape from this place, the muttered rumbling of those talking to themselves, or the hiss and click of rebreathers. Even through your own rebreather you can smell salt, produced from the refining of Red Water - clearly your rebreather is not up to snuff. The floor is covered in a thin layer of rubbish and red-brown stains, bathed in flickering flourescent lighting. Contiunuing further into the concorse towards the administration area you enter a red-tinged atrium, a glass wall overlooking the ocean of crimson below. The sight is deeply unnerving, although you cannot explain why - until it occurs to you that you espy the regular motion of waves on the ocean, despite there being no atmosphere. The data slate blames the effect on the surface tension being held together by the organic mass within the ocean, which only puts you mildly at ease. Amongst the background noise of the pumping machines you swear you hear the sound of breaking waves, washing on a dead grey beach, and maybe...just maybe...the voice of a Mother you never met. You quickly resolve to get your business done as quickly as possible, before you get too addled by the fumes of the Red Water.""",,,,,
hmi_mercy_stationOpenDialog,OpenInteractionDialog,$tag:hmi_mercy_stationtag,"AddText""Entering the station, you discover that despite the outside appearing intact, if pitted by space debris, the inside has been completely stripped out. All that is left is a labyrinth of the geometric shapes of structural supports holding up the exterior structure. Deeper exploration of the hulk reveals a circular core made of some thick, white, impenetrable material. Several hatches and entrances into the core are sealed shut, and all the access panels, if remaining, are completely fried. The only clue to the origin of the station lies on the reverse side of a metal panel covering a fried access station, spared whatever force stripped out this place. There, stamped in light blue is the Tri-Tachyon triangle, along with the words:""

AddText ""\""Psi Division - PROJECT SEELE\"""" textNeutralColor",,,,,
flavorTextMarketHMISoul,TradePanelFlavorText,"$market.id == path_soul score:1000

$id == path_soul","AddText""Passing out of the bare bones spaceport (amusingly named 'The Ladder of Jacob'), you emerge onto the clean, almost sterile streets of The Capitol. Here and there green robed monks stroll in silent prayer around the slow and gentle activity of the public. Convienience stores, primitive automobiles, cables criss-crossing over the streets, and rather short apartment blocks crowd the city, making you feel like your in an archaeolog of primitive Earth. At nearly every street corner and every entrance is a statue of Saint Eva the Exultant. The general public appear to be afflicted with some sort of strange albinism that turns their hair blue or white, eyes a dull red, and skin an alabaster white. They look at you and your crew in distaste over your more flashier techno-augments and less than decent fashion.""",,,,,
flavorTextMarketHMINuriel,TradePanelFlavorText,"$market.id == hmi_nuriel score:1000

$id == hmi_nuriel","AddText""The spaceport of Nuriel is a strange thing, constructed of brutalist geometric designs with ominiously glow peeking through cracks in the structure. The entire thing feels like a monolithic tomb of some ancient deity rather than a spaceport, swept in clouds of hazardous chlorine and sulfuric dust. Once your shuttle is safely inside and properly decontaminated, however, you find the place is a hive of life as the local population dutifully work the 'divine machinery' to extract the deposits below for their sacred mission. Outsiders mill about the concourse making deals, eyeing the too-well constructed walls with uncertainty and the albino population with disdain.""",,,,,
flavorTextMarketHMICorpse,TradePanelFlavorText,"$market.id == mercy_corpse score:1000

$id == mercy_corpse","AddText""Corpse Station is rather consistent with the other strangely high-tech structures in the system, being of relatively old make but still reminiscent of the Expansion Epoch design. The smooth curves of the station however are ruined by newer, cruder  modular hab blocks and extensive bays to facilitate the transfer of volatile material from Metatron below. The concourse is comparatively bare, however - most deals occur elsewhere, and here the transport of materials is already established in one of the many other hangars. A chipper, purple-haired and red-eyed albino in a conservative green dress greets you as you disembark, and hands you a clipboard with all the standing contacts on station. The list is printed on sheets paper of all things - a novelty to be sure, but a pain in the neck to transcribe onto your data pad.""",,,,,
flavorTextMarketHMI,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HMI","AddText ""The spacedock is crowded with speculators and traders eager to meet with you and your crew. Here and there are signs and advertisement holos of a wide variety of quality and in many different languages, selling everything and anything - including several goods you're pretty sure are illegal. Several bored looking security thugs in the HMI black and red watch the controlled chaos, but immediate snap to attention as their Officer walks by."" textGrayColor",,,,,
flavorTextMarketHMIHazard,TradePanelFlavorText,$id == fuyutsuki score:1001,"AddText ""Passing out of the main dock you enter into a promenade that overlooks the rugged, picturesque mountains, a carpet of green and peaks of white under a cold, blue sky. Below you is the main hustle and bustle of Fuyutsuki, loaded with admin blocks and apartment habs. Along the promenade are recruitment stations, duty-free shops and cafes, all seeing steady trade from both off-loading and departing crew. You watch as someone wearing the latest Tri Tachyon Fitness techmods jogs by, and an old scarred bastard with a Hegemony officer's cap argues with a security manager on break over the state of the Persean League. You take a moment to take in the view, before you return back to the business at hand and locate a public dataslate for all the current prices.""",,,,,
flavorTextMarketHMIGemima,TradePanelFlavorText,"$tag:hmi_fuyutsuki_station
$faction.id == HMI","AddText ""On entering the main concourse you discover that Gemima is more peaceful and contemplative than the hustle and bustle of Fuyutsuki. This station has been largely co-opted by the Company's beaurocracy, with an entire ring just put aside for offices. Another ring, restricted from the public, houses the higher up executives and what is rumoured to be one of the best, most pristine gardens in the Sector, arguably competing with the estates of Sphinx for rare and beautiful plants. For the common spacefarer, however, there is not much to do here - all business is usually conducted on planet, but one or two communication vendors are on hand and willing to put you into contact with someone planetside - for a comission of course.""",,,,,
