id,type,text1,text2,text3,notes
# WEAPONS WEAPONS WEAPONS,,,,,
,,,,,
sml_fragrifle,WEAPON,"Originally a sport's rifle from a by-gone era, the HK-101 Precision Rifle has been militarized into a superbly accurate, if somewhat underwhelming weapon. Useful for little more than rangefinding, shield worrying and, if the gunner is skilled enough, annoying enemy gun crews.",Fire Support,,
sml_shotgrun,WEAPON,"This medium-ranged shotgun is something of a frontiersmen favourite for hunting [REDACTED]. Has a poorer damage efficiency when compared with it's main rival, the dual autocannon.",Assault,,
retro_ml,WEAPON,"A low powered mining laser retrofitted for ballistic slots. Due to the ballistic integration, the weapon works by depleting manually loaded energy cores in short bursts. The process of reloading the cores is slow and sluggish, but the rapid depletion of the core provides a surprising amount of firepower. Lacks the ability to track missiles, but works as a semi-effective anti-fighter weapon.",Anti-Fighter,,
mcg_ml,WEAPON,"A mining laser that has been upgraded using an ingenous design from a legendary technician, this weapon is able to release a short range, high intensity beam that can score holes in light armour.",Assault,,
burst_ml,WEAPON,"By taking the basic mining laser and fitting increased efficiency capacitors, the assembly can hold and suddenly release greater power than normal. The Chimobuko configuration of this concept results in a better point defense weapon than the original Mining Laser while keeping it relatively easy to produce and integrate.",Point Defense,,
mining_gen,WEAPON,"This assembly, under mining conditions, fires a stream of magnetic nanites that seek out ores, which are then sucked back into the assembly. In combat the assembly is rotated 90 degrees to the side and overcharged. When released from the emergency vent port, the resulting blast of charged nanites can cripple ship systems and overload even mid-grade shielding. The intense conditions put tremendous strain on the assembly, ensuring the weapon can only be used once or twice before suffering a critical malfunction.",Strike, ,
kane_missile,WEAPON,"Considered to be an 'upgrade' of the Hammer torpedo, the Kane torpedo has very weak tracking capability while maintaining the same damage output as the Hammer. Mostly used by old dodgers with poor eyesight.",Strike,,
seth_sml,WEAPON,"A hacked drone construction assembler crudely applied to a missile slot, this weapon is able to release a slow but steady stream of Seth Drones; slow, dumb borer drones that burst apart into a small number of kinetic fragments when nearing enemy ships.",Fire Support,,
mbeke_sml,WEAPON,"A turret that shoots a steady stream of light rockets, the Mbeke Rocket Turret is considered to be an outdated if rather useful weapon to pressure enemy ships.",Suppression,,
rock_launcher,WEAPON,"The Lesser Xin Li Mining Collector uses localised gravitronic fields similar to artificial gravity on ships to grab small asteroids. While these fields are too weak to affect ships in combat, they can propel small pieces of scrap from inside the assembly at high speeds, although they rapidly disintegrate making them a short-range option. When combined with the asteroid acquisition hardware attached to the instrument, the assembly can work as a stop-gap point defense weapon. However, due to the fact that the assembly is not supposed to be used in the rapid acceleration of small objects, the damage output is frustratingly inconsistent.",Point Defense,,
,,,,,
hmi_ragtime,WEAPON,"The Ragtime Mortar is an attempt to improve upon the Heavy Mortar. With an extended barrel and a reinforced reloading mechanism, the Ragtime can fire slightly quicker and hit with marginally better consistency than the Heavy Mortar, but loses out on some flux efficiency.",Anti Armour,,
launcher_cannon,WEAPON,"The Greater Xin Li Mining Collector uses localised gravitronic fields similar to artificial gravity on ships to grab moderate asteroids. While these fields are too weak to affect ships in combat, they can propel objects from inside the assembly. The long gravity tensors of the instrument cannot fire miniature projectiles like its smaller brother, however they do allow the projection of large objects at moderate speeds over long ranges. This feature is used in combat to fire bundles of mining explosives at enemy ships. While the bundle is projected at a slow speed to prevent premature detonation and is easily defeated by shields, on contact with hull the explosion can be devastating.",Suppression,,
med_frag_mg,WEAPON,"Considered to be the older, more complex version of the Thumper. Deeply loved by Gunnery Officers for rewarding the proper upkeep of its overly complicated and many reduntant systems, liked by Starship Captains who like to take pot-shots at exposed enemy hulls, loathed by gunnery crews for using an archaic liquid cooling system that requires constant attention and continual upkeep.",Suppression,, 
clyde_mg,WEAPON,"Affectionately known as the Tommy Gun, this weapon fires a continuous stream of kinetic bullets at the enemy. Unfortunately let down by an old rechambering mechanism, which rapidly builds flux on use.",Assault,,
pumm_mg,WEAPON,"Techmined from some forgotten archaeological site, this oversized weapon is the spiritual ancestor of the vulcan cannon. Able to fire short bursts of oversized vulcan rounds at mid-range, this weapon is useful for anti-fighter and ship pressuring applications.",Point Defense,,
retro_mb,WEAPON,"A mining blaster retrofitted for a medium ballistic slot, this mining implement is deceptively powerful. While lacking the punch a mining blaster normally possesses due to a dependance on manually loaded energy cores, the better containment of the lower energy bolts results in a more flux-efficient weapon.",Assault,,
suowang_pulser,WEAPON,"A primitive variation of the Autopulse Laser, the Suo Wang Pulser shoots a rapid stream of IR laser bursts as long as its capacitors allow. Considered to be an effective assault weapon for light craft.",Strike,,
double_ir,WEAPON,"A relatively simple weapon, the Double IR Pulse Laser is exactly what it says on the tin - two IR pulse lasers combined into a single slot. The size of the doubled assembly requires the usage of a medium energy mounting, however it is still a useful and flux efficient weapon for assault craft.",Assault,,
seth_med,WEAPON,"Two hacked borer drone construction assemblys crudely applied to a missile slot, this weapon is able to release a slow but steady stream of Seth Drones with improved, longer range engines and implanted explosive devices. On close range, the drones burst apart and shoot the explosive charges at the enemy.",Fire Support,,
mbeke_med,WEAPON,"More a threat to friendly vessels than to enemy ships, this weapon releases a wide spread of light rockets. For this reason its use has all but disappeared, apart from several crazy miscreants from beyond the Outer Rim who still say its useful.",Suppression,,
rad_gun,WEAPON,"A horrifyingly inhuman machine, this weapon shoots a stream of concentrated high energy particles and subspacial anomalies in a brief beam that turns unprotected targets into molten, screaming goo. The saving grace of this weapon is it's absurdly high ordinance cost, meaning it's not in use everywhere - little hope for those facing it, however.",Suppression,,
mining_burst_blaster,WEAPON,"A modification of the Mining Blaster, this burst beam weapon has comparable damage output while also possessing an improved ability to land hits on enemy ships. Similar to the Mining Blaster, however, this weapon is very flux intensive.",Strike,,
,,,,,
dick_cannon,WEAPON,"A weapon extracted from what may have been a Pre-Domain weapons facility, this artillery assembly fires a considerable stream of fragmentary ordinance in a surprisingly flux efficient manner. While it has a short range and fires weak fragmentary projectiles similar to oversized vulan rounds, the high-speed turret motors and sheer volume of fire ensure it has a niche use as combination point defence and assault weapon.",Point Defense,,
mark_iv,WEAPON,"With shorter range and restricted by a shallow ammo pool and slower reload speed, this progenitor of the Mark IX is widely considered to be obsolete. However, with investment into range and magazine expansion, this weapon becomes an somewhat effective strike weapon.",Strike,,
tpc_hmi,WEAPON,"This halfway-successful attempt to replicate the Thermal Pulse Cannon in a modular form using Heavy Blaster components resulted in several key differences with the original weapon, with the ammo pool drastically reduced, accuracy compromised, range shortened and flux efficiency decreased. Despite these niggling factors making it closer to an oversize Heavy Blaster than an actual modular TPC, the weapon otherwise works as advertised.",Strike,,
hmi_heavy_assault_launcher,WEAPON,"The Baffler Area Denial Launcher is a simple weapon - it fires a large burst of unguided, low-yield bombs with basic proximity fuses across a conservative area. These bombs are large and slow moving, making them unique in that point defense weapons can target and detonate them. However, the launching mechanism is flux efficient and capable of projecting the bombs over long distances, although inaccruately.",Suppression,,
,,,,,
pumm_cannon,WEAPON,"A much larger version of the Pummerer Carbine, this monstrosity is too large to use as a modular weapon and only effectively useable in specially designed mountings, such as the spinal mount of the Junk. On the battlefield, this beast deletes fighters and frigates with ease, and worries larger targets enough to give them a second thought.",Fleet Defense,,
marlinblaster,WEAPON,"The core of the Marlin, the Scarlet Aura Energy Blaster lies somewhere between a Heavy Blaster and a Pulse Laser in damage output, with much greater flux efficiency.",General Purpose,,
tpc_weaver,WEAPON,"The vast majority of the Weaver is built around this improved version of the Thermal pulse Cannon. Possessing a greater damage output, faster projectile speed and better flux efficiency, the Weaver Pulse Cannon is nevertheless let down by its limited ammo pool.",Suppression,,
domres_hellbore,WEAPON,"Two Hellbores slaved into a single turret, this station-bourne weapon can crush Capital grade armour with ease. Luckily it's ungainly bulk prevents it from being mounted on anything other than a station-based platform.",Suppression,,
khradeh_left,WEAPON,"A weapon built directly into the sub-structure of the Jakkle, the Khradeh Autocannon is a mid-ranged ballistic gatling gun. While it lacks punch due to flaws sabotaged into the ship design, the alteration resulted in a reduction in expected flux cost, making it a very flux efficient weapon.",General Purpose,,
khradeh_right,WEAPON,"A weapon built directly into the sub-structure of the Jakkle, the Khradeh Autocannon is a mid-ranged ballistic gatling gun. While it lacks punch due to flaws sabotaged into the ship design, the alteration resulted in a reduction in expected flux cost, making it a very flux efficient weapon.",General Purpose,,
,,,,,
hmi_drill,WEAPON,"The Marx Drill is an effective instrument for the grinding, sorting and analysis of ore materials, ensuring its widespread use as a mining tool. Able to tear through geological astrogeology with great efficiency, there is little wonder then that it can also tear through ship armour with similar, if incredibly frightening efficiency. If, of course, it can get in range of the enemy.",Anti-Ship,, 
tpc_hmi_hvb,WEAPON,"A bulky energy weapon from an early epoch, this TPC has been tweaked to have a higher damage output and a greater ammunition capacity. Capable of a truly horrifying amount of overwhelming firepower.

Designed before modular energy weapons were universally trusted by Domain naval architects, this weapon was coded into the Onslaught's blueprint because no other hull of the time was large enough or had reactors capable of generating the requisite power.

Even though it's outperformed by some of the later epoch modular designs, the Thermal Pulse Cannon remains an integral part of the Onslaught's arsenal.",Assault,,
,,,,,
# REMNANT WEAPONS,,,,,
,,,,,
lightdualac_rem,WEAPON,"An AI-influenced modification of the Light Dual Autocannon, this weapon utilises the firing ship's flux to charge the kinetic projectile to create electromagnetic arcs on contact with hull.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
railgun_rem,WEAPON,"Modified by artificial intelligence, this Railgun's coils have been enhanced to fire large, highly unstable projectiles that explode on contact. While this projectile is substantially more damaging, it tends to overheat the rail coils, lowering the rate of fire drastically.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
messenger_rem,WEAPON,"Somewhat of a novel weapon based on the Annhiliator, the Messenger Rocket is a simple weapon; an encased energy charge with rockets strapped to it. Individual rockets tend to be low yielding, however the short times between bursts ensure that there is a constant waves of ordinance from the Launcher, pressuring shields and armour alike.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
messenger_rem_single,WEAPON,"Somewhat of a novel weapon based on the Annhiliator, the Messenger Rocket is a simple weapon; an encased energy charge with rockets strapped to it. Individual rockets tend to be low yielding, however when massed from multiple different sources a volley of these rockets can be devastating.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
taclaser_rem,WEAPON,"A Tactical Laser influenced by AI modification, this weapon is able to hypercharge the beam using the ship's own flux systems. The resulting beam is able to cause short electromagnetic anomalies which can damage weapons and engines, the strength of which depends on the firing ship's flux level.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
ioncannon_rem,WEAPON,"A modification of the Ion Cannon designed for Tri-Tachyon's autonomous security forces, this weapon is able to fire faster, and increase the speed of the electromagnetic pulse towards the target. The consequence of this change however is a drastic loss in flux efficiency.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Special,,
irpulse_rem,WEAPON,"With a slightly slower firing rate and a more powerful and faster IR pulse, this AI-modified IR Pulse Laser suffers from a deceptive loss in flux efficiency.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",General,,
pdlaser_rem,WEAPON,"A Point Defense Laser with a drastically improved focusing mechanism that increases damage output and can inhibit the movement of small craft, this Autonomous Security weapon is sorely limited by its short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Point Defense,,
lrpdlaser_rem,WEAPON,"A Long Range Point Defense Laser, this AI-modified weapon possesses a drastically improved focusing mechanism that increases damage and inhibits the movement of small craft.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Point Defense,,
burst_rem,WEAPON,"Something of a combination of Burst PD Laser and Phase Lance, this attack laser is an assault weapon able to cut through shield and armour. Limited by a short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Assault,,
,,,,,
heavyac_rem,WEAPON,"An alteration of the Heavy Autocannon utilised by Remnant forces, this weapon utilises the firing ship's flux to charge the kinetic projectile to generate electromagnetic arcs on contact with hull.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
messengerpod_rem,WEAPON,"Somewhat of a novel weapon based on the Annhiliator, the Messenger Rocket is a simple weapon; an encased energy charge with rockets strapped to it. Able to pressure both shields and armour alike, this weapon is let down by fragile projectiles and a relatively low damage yield per missile.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
phasebeam_rem,WEAPON,"A rather unusual alteration of the Phase Lance, this AI-enhanced derivative utilises focusing lenses of vastly higher quality, increasing weapon's range by large margin at the cost of direct damage. Its hyperdimensional filter has been recalibrated to higher frequency than one on normal Phase Lance, causing the weapon to discharge damaging arcs to enemy vessels when either hull or shield are struck.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Assault,,
gravitonbeam_rem,WEAPON,"A Graviton Beam influenced by AI modification, this weapon is able to hypercharge the beam using the ship's own flux systems. The resulting beam is able to cause short electromagnetic anomalies which can damage weapons and engines, the strength of which depends on the firing ship's flux level.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
pulselaser_rem,WEAPON,"With a slightly slower firing rate and a more powerful and faster energy pulse, this AI-modified Pulse Laser suffers from a deceptive loss in flux efficiency.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",General,,
heavyburst_rem,WEAPON,"An aggressive weapon, the Heavy Burst Attack Laser is able to cut through shield and armour. Limited by a short range.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Assault,,
,,,,,
tachyonlance_rem,WEAPON,"With a lower damage output than the base model, this AI-modified Tachyon Lance is far more crippling through its ability to induce localised errant subspace events on fluxed target ships.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Suppression,,
mark9_rem,WEAPON,"This AI-modified derivative of the Mark IX utilises ammunition that can either be prestored and fed to the weapon via ballistic loading, or generated in situ with energy integration. The projectiles fired from this weapon emit electromagnetic arcs on contact with hull, disabling weapons and engines.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
gauss_rem,WEAPON,"Having undergone alteration by artificial intelligence, this Gauss Cannon's coils have been enhanced to fire large, highly unstable projectiles that explode on contact. These projectiles, which can be generated via ballistic or energy mount integration, travel faster and strike harder when compared with the stock Gauss Cannon.

It is unclear whether the design of this weapon was produced before or after the First AI War. There is clearly an AI influence on its design, as a lot of the components are almost too perfect in shape and size, or are utilised in inexplicable ways that just seem to work. The danger posed by this weapon and others, however, is very real, as either the Tri-Tachyon Corporation has access to incredibly advanced weapon designs even before the First AI War that they have since refined, or its a sign that the Remnant threat is not as nascent as first believed.",Anti-Shield,,
,,,,,
# SHIPS SHIPS SHIPS,,,,,
,,,,,
# FIGHTERS FIGHTERS FIGHTERS,,,,,
,,,,,
drone_blitz_borer,SHIP,"A borer drone with vastly improved engines and maneuvering thrusters, this little drone is able to dodge, duck, and weave, all while suppressing ships and countering torpedoes with their mining lasers.",,,
support_bombardment_drone,SHIP,"This stripped down drone is a Mining Drone wing with the lasers replaced with missile racks packed with  a weaker version of the Annhilator, and the engine overtuned for maximum speed. Useful as a bullet magnet and giving limited missile support against already battered enemies. Limited to 2 per wing due to the complexity of the cracked missile loading system.",,,
heavy_shepherd_borer,SHIP,"An uparmed, up armed Mining Drone, this unit is used to shield its host Shepherd vessel while also providing fire support. The nature of the LAI governing the unit requires it to remain close to its parent.",,,
drone_terminator_8,SHIP," Designed to roam far from the Tempest, this drone is armed with an ion pulsar and a weak shield generator. If this threat is not dealt with swiftly, it can very quickly becripple enemy ships.",,,
drone_terminator_7,SHIP,"While this drone is armed with a less impressive pulse laser, it is equipped with both a phase field and a phase skimmer. This turns this drone into a slippery, annoying and dangerous foe, able to strike surgically and escape unharmed.",,,
hmi_scale,SHIP,"The Scale support fighter is based on an old fighter LPC chip, which was armed with an outdated anti-fighter missile system. Replacing the glorified flare launchers with Mbeke Rocket Pods, these ships are able to provide an effective stream of ordinance to pressure shields and punish larger targets. A small rocket pool and the poor light machine gun-based point defence system prevent this fighter from wandering too far from its parent ship.",,,
hmi_shell,SHIP,"The Shell Drone is a simplistic but effective construction. The basis of the frame is an old, slow, heavily plated constructor bot, with a light machine gun bolted into what was the cargo bay. The sturdiness of the craft combined with an effective mounting set up enables the craft to fire farther than normal. The resulting remotely controlled vessel is incredibly durable, and effective at point defense. Useful for catching missiles rather than shooting them down, when used en mass these ships can quickly become troublesome.",,,
hmi_nail,SHIP,"This fighter is based on a fighter LPC found in a lost Tri Tachyon facility. A somewhat fragile fighter design armed with an IR pulse laser, this ship is useful in many different roles without being a master of one.",,,
