name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Enenra Wrath Battery,mm_omegagun,3,0.1,200000,2000,,3800,,1000,6,40,,,,HIGH_EXPLOSIVE,4500,,0,18,3,1,0,0,0,0,,800,800,10,1800,,,"STRIKE,USE_VS_FRIGATES",he20,,Musashi Manufactorum,,Anti Armor,,,,,,,,,,5
Jibakurei Cage,mm_goldendome,3,0.1,6000,700,,50,10,5,60,20,,,,HIGH_EXPLOSIVE,20,,0,0.1,2,0.05,0,6,2,3,,1000,,,100,,,PD,he20,,Musashi Manufactorum,,Anti Armor,,,,,,,,,,4.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onryo Rift Cannon,mm_rubionblastcannon,3,0.1,50000,1100,,3000,300,400,6,30,,,,ENERGY,3300,,0.8,9.2,1,,0,8,2,3,,1000,,,,,,"STRIKE,USE_VS_FRIGATES","rare_bp,energy20,merc,hist1t",,Musashi Manufactorum,,General,,,,,,,,,,5
Kirin Burst Battery,mm_cryofusionbattery,3,0.4,12000,1000,,2100,100,100,8,26,,,,ENERGY,2500,,0,13.4,3,0.8,0,10,2,3,,1000,,,,,,"STRIKE,USE_VS_FRIGATES","musashi_bp,energy20, he17, kinetic17,independent,merc",,Musashi Manufactorum,,General,,,,,,,,,,27
Fujin Rail Rifle,mm_hypermagneticrifle,3,0.6,12000,1200,,1800,400,300,9,25,,,,KINETIC,2500,,0.6,5.4,1,,0,6,2,3,,1300,,,800,,,"STRIKE,USE_VS_FRIGATES","musashi_bp,strike20,independent,merc",,Musashi Manufactorum,,Anti Shield,,,,,,,,,,5
Tengu Burst Battery,mm_hyperblastbattery,3,0.8,8000,1000,,1700,100,200,7,24,,,,HIGH_EXPLOSIVE,1900,,0,10.8,3,0.6,0,10,2,3,,1100,,,800,,,"STRIKE,USE_VS_FRIGATES","musashi_bp,hightech_bp,he16,independent,merc,pirates",,Musashi Manufactorum,,Anti Armor,,,,,,,,,,5
Gyuki Flak Storm Array,mm_flakstormarray,3,,6000,900,,60,20,30,18,20,,,,HIGH_EXPLOSIVE,60,,0,0.3,3,0.1,0,6,2,3,,1000,,,100,,,PD,"musashi_bp,midline_bp,he16,independent,merc,pirates",,Musashi Manufactorum,,Anti Armor,,,,,,,,,,4.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shisa Howitzer,mm_gigatichowitzer,2,,2000,2000,,3100,,800,8,12,,,,HIGH_EXPLOSIVE,3000,,0,20,1,,0,0,0,0,,500,500,20,2000,,,"STRIKE,USE_VS_FRIGATES","musashi_bp,lowtech_bp,strike20,independent,merc",,Musashi Manufactorum,,Anti Armor,,,,,,,,,,5
