bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
uw_palace_unique_bounty,30,spaceAdmiral,Rictus,Digital,aggressive,Ascendance Party,Pink Throne,MALE,cabal,graphics/uw/portraits/uw_in_this_moment_i_am_euphoric.png,"You hail the Pink Throne and connect to their comms channel, but the captain just sits there, staring at you. He does not reply to anything you say or do, but your comms officer insists that the feed is live. You are eventually forced to end this fruitless communication.",FALSE,tritachyon,600000,25,"Digging through obtrusively thick corporate lingo, you spot the key points of this Tri-Tachyon transmission. One ""Rictus Digital"" has commandeered ""certain corporate assets co-owned by undisclosed benefactors"" (a Starlight Cabal ship, you reckon) and his prompt dismissal (death) is desired by the Tri-Tachyon Corporation. Many kick-back incentives are implied, but the fine print indicates that the option exists for a cash payment upon completion.

A Cabal ship, eh. How bad could it be?",uw_palace_gra,"uw_succubus_ass, uw_succubus_cus, uw_succubus_rpr",250,1.4,400,0,uw_cabal_minipackage,,FALSE,FALSE,208,30,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random faction ships will be added to fleet until its FP passes this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# maximumFleetFP : will not add any randomized/autofit ships beyond this FP value. Hand-picked variants will still be added even if they exceed this. Optional: default Integer.MAX_VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# chanceToAutoRecover : fractional chance to automatically recover with maximum D-mods. Does NOT affect standard recovery chance. Optional: default 1 aka 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnUnlessBountiesCompleted : comma seperated list of unique bounty IDs required to be in 'spent bounties' list before bounty will spawn. Will account for bounties which have been manually deactivated via script as well as those are 'spent' to remove them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
