name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Revolver,uw_revolver,,Hack-Job,uw_fighterflares_eccm,,600,60,600,,130,0,,150,250,150,75,150,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Razor,uw_razor,,Post-Collapse,,,300,50,250,,50,0,,250,250,350,150,300,20,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidecar,uw_sidecar,Frigate,Junker,burndrive,2,2250,275,950,1000,80,30,,100,120,60,50,80,150,FRONT,,90,0.2,1,,,5,15,30,15,1,15,10,4500,8,15,180,0.25,2,2,,,,,,,,uw_junker_bp,,0.7,2,2,,219
Torch,uw_torch,Gunboat,Post-Collapse,uw_inferniumdrive,3,2500,500,2500,3125,250,60,,130,70,60,45,70,220,NONE,,,,,,,20,35,35,30,1,30,11,8000,8,10,120,0.25,4,4,,,,,,,,uw_post_collapse_bp,,0.4,2,2,,222
Tiger,uw_tiger,Frigate,Post-Collapse,highenergyfocus,5,1400,250,3000,2625,210,47,,120,90,80,45,70,220,FRONT,,260,0.3,1,,,20,30,25,20,1,20,10,16000,8,10,180,0.25,5,5,,,,,,,,"uw_post_collapse_bp, merc",,0.5,2,2,,223
Scythe,uw_scythe,Phase Frigate,Hack-Job,ammofeed,8,1200,300,2500,3750,300,45,,135,100,90,60,90,200,PHASE,phasecloak,,,,0.06,0.06,15,20,25,25,1,25,10,30000,10,12,240,0.25,6,6,,,,,,,,"uw_hack_job_bp, merc",,0.5,2,2,,228
Venom,uw_venom,Combat Freighter,Post-Collapse,flarelauncher,4,2000,400,2000,1875,150,45,,120,120,120,90,120,200,NONE,,,,,,,25,40,90,25,1,25,10,10000,5,10,240,0.25,4,4,22,90,,,,,,uw_post_collapse_bp,,0.4,2,2,,229
Venom-X,uw_venomx,Frigate,Hack-Job,temporalshell,10,1250,150,3300,3500,280,52,,130,200,200,90,240,150,FRONT,,300,0.6,0.6,,,20,30,10,15,1,15,10,34000,8,20,120,0.25,10,10,,,,,,,,"rare_bp, hist2t",0.5,0.75,2,2,,230
Predator,uw_predator,Frigate,Hack-Job,maneuveringjets,5,1750,200,2200,1875,150,50,,140,140,90,50,100,220,FRONT,,150,0.4,1,,,15,30,40,25,1,25,10,18000,8,12,180,0.25,5,5,,,,,,,,"uw_hack_job_bp, merc",,0.6,2,2,,231
